Folder,File,Name,Owner
Ion,T_iconPerks_BoonExponential,Boon: Exponential,Jonah Vasquez
Ion,T_iconPerks_CorrectiveAction,Corrective Action,Jonah Vasquez
Ion,T_iconPerks_grimEmbrace,Grim embrace,The Artist
Ion,T_iconPerks_hexPentimento,Hex: Pentimento,The Artist
Ion,T_iconPerks_Overcome,Overcome,Jonah Vasquez
Ion,T_iconPerks_painResonance,Scourge Hook: Pain Resonance,The Artist
Kate,iconPerks_danceWithMe,Dance With Me,Kate Denson
Kate,iconPerks_windowsOfOpportunity,Windows of Opportunity,Kate Denson
Kenya,iconPerks_aftercare,Aftercare,Jeffrey "Jeff" Johansen
Kenya,iconPerks_breakdown,Breakdown,Jeffrey "Jeff" Johansen
Kenya,iconPerks_discordance,Discordance,The Legion
Kenya,iconPerks_distortion,Distortion,Jeffrey "Jeff" Johansen
Kenya,iconPerks_ironMaiden,Iron Maiden,The Legion
Kenya,iconPerks_madGrit,Mad Grit,The Legion
Kepler,iconPerks_darkTheory,Boon: Dark Theory,Yoichi Asakawa
Kepler,iconPerks_callOfBrine,Call of Brine,The Onryō
Kepler,iconPerks_empathicConnection,Empathic connection,Yoichi Asakawa
Kepler,iconPerks_forcedPenance,Forced Penance,The Executioner
Kepler,iconPerks_mercilessStorm,Merciless storm,The Onryō
Kepler,iconPerks_parentalGuidance,Parental Guidance,Yoichi Asakawa
Kepler,iconPerks_floodOfRage,Scourge Hook: Floods of Rage,The Onryō
L4D,iconPerks_borrowedTime,Borrowed Time,William "Bill" Overbeck
L4D,iconPerks_leftBehind,Left Behind,William "Bill" Overbeck
L4D,iconPerks_unbreakable,Unbreakable,William "Bill" Overbeck
Mali,iconPerks_corruptIntervention,Corrupt Intervention,The Plague
Mali,iconPerks_darkDevotion,Dark Devotion,The Plague
Mali,iconPerks_headOn,Head On,Jane Romero
Mali,iconPerks_infectiousFright,Infectious Fright,The Plague
Mali,iconPerks_poised,Poised,Jane Romero
Mali,iconPerks_solidarity,Solidarity,Jane Romero
Meteor,iconPerks_DarknessRevelated,Darkness Revealed,The Dredge
Meteor,iconPerks_Dissolution,Dissolution,The Dredge
Meteor,iconPerks_InnerFocus,Inner Focus,Haddie Kaur
Meteor,iconPerks_Overzealous,Overzealous,Haddie Kaur
Meteor,iconPerks_ResidualManifest,Residual Manifest,Haddie Kaur
Meteor,iconPerks_SepticTouch,Septic Touch,The Dredge
Meteor,iconPerks_BoonDestroyer,Shattered Hope,
Oman,iconPerks_furtiveChase,Furtive Chase,The Ghost Face
Oman,iconPerks_imAllEars,I'm All Ears,The Ghost Face
Oman,iconPerks_thrillingTremors,Thrilling Tremors,The Ghost Face
Qatar,iconPerks_babySitter,Baby Sitter,Steve Harrington
Qatar,iconPerks_betterTogether,Better Together,Nancy Wheeler
Qatar,iconPerks_camaraderie,Camaraderie,Steve Harrington
Qatar,iconPerks_cruelConfinement,Claustrophobia,
Qatar,iconPerks_mindBreaker,Fearmonger,
Qatar,iconPerks_fixated,Fixated,Nancy Wheeler
Qatar,iconPerks_guardian,Guardian,
Qatar,iconPerks_survivalInstincts,Inner Healing,
Qatar,iconPerks_innerStrength,Inner Strength,Nancy Wheeler
Qatar,iconPerks_surge,Jolt,
Qatar,iconPerks_pushThroughIt,Renewal,
Qatar,iconPerks_secondWind,Second Wind,Steve Harrington
Qatar,iconPerks_situationalAwareness,Situational Awareness,
Sweden,iconPerks_anyMeansNecessary,Any Means Necessary,Yui Kimura
Sweden,iconPerks_bloodEcho,Blood Echo,The Oni
Sweden,iconPerks_breakout,Breakout,Yui Kimura
Sweden,iconPerks_luckyBreak,Lucky Break,Yui Kimura
Sweden,iconPerks_nemesis,Nemesis,The Oni
Sweden,iconPerks_zanshinTactics,Zanshin Tactics,The Oni
Ukraine,iconPerks_deadManSwitch,Dead Man's Switch,The Deathslinger
Ukraine,iconPerks_forThePeople,For The People,Zarina Kassir
Ukraine,iconPerks_gearHead,Gearhead,The Deathslinger
Ukraine,iconPerks_hexRetribution,Hex: Retribution,The Deathslinger
Ukraine,iconPerks_offTheRecord,Off the Record,Zarina Kassir
Ukraine,iconPerks_redHerring,Red Herring,Zarina Kassir
Wales,iconPerks_bloodWarden,Blood Warden,The Nightmare
Wales,iconPerks_deathbound,Deathbound,The Executioner
Wales,iconPerks_repressedAlliance,Repressed Alliance,Cheryl Mason
Wales,iconPerks_soulGuard,Soul Guard,Cheryl Mason
Wales,iconPerks_trailOfTorment,Trail of Torment,The Executioner
Yemen,iconPerks_builtToLast,Built to Last,Felix Richter
Yemen,iconPerks_desperateMeasures,Desperate Measures,Felix Richter
Yemen,iconPerks_dragonsGrip,Dragon's Grip,The Blight
Yemen,iconPerks_hexBloodFavor,Hex: Blood Favour,The Blight
Yemen,iconPerks_hexUndying,Hex: Undying,The Blight
Yemen,iconPerks_visionary,Visionary,Felix Richter
Orion,iconPerks_BetterThanNew,Better than New,Rebecca Chambers
Orion,iconPerks_Hyperfocus,Hyperfocus,Rebecca Chambers
Orion,iconPerks_Reassurance,Reassurance,Rebecca Chambers
Orion,iconPerks_LowProfile,Low Profile,Ada Wong
Orion,iconPerks_ReactiveHealing,Reactive Healing,Ada Wong
Orion,iconPerks_Wiretap,Wiretap,Ada Wong
Orion,iconPerks_AwakenedAwarenesss,Awakened Awareness,The Mastermind
Orion,iconPerks_SuperiorAnatomy,Superior Anatomy,The Mastermind
Orion,iconPerks_Terminus,Terminus,The Mastermind
Quantum,iconPerks_Fogwise,Fogwise,Vittorio Toscana
Quantum,iconPerks_HexFaceTheDarkness,Hex: Face the Darkness,The Knight
Quantum,iconPerks_Hubris,Hubris,The Knight
Quantum,iconPerks_NowhereToHide,Nowhere to Hide,The Knight
Quantum,iconPerks_PotentialEnergy,Potential Energy,Vittorio Toscana
Quantum,iconPerks_VittoriosGambit,Quick Gambit,Vittorio Toscana
